,Birth,RPI Graduation,Significant Date,IBM Promotion,IBM Retirement,Passing,Grumman Report,Report Revision,Patent Filing,Patent Issue,Higuchi Comm,Doi Comm,Final Liaison,Genesis Block
Birth,0,641606400,147415495,584603095,567944990,582912885,24036295,39851095,469967390,557666990,560199766,567469817,584582847,557666990
RPI Graduation,47672105,0,195087600,632275200,615617095,630584990,71708400,87523200,517639495,605339095,607871871,615141922,632254952,605339095
Significant Date,541863010,494190905,0,437187600,420529495,435497390,565899305,581714105,322551895,410251495,412784271,420054322,437167352,410251495
IBM Promotion,104675410,57003305,252090905,0,672620400,687588295,128711705,144526505,574642800,662342400,664875176,672145227,689258257,662342400
IBM Retirement,121333515,73661410,268749010,16658105,0,14967895,145369810,161184610,591300905,679000505,681533281,688803332,16637857,679000505
Passing,106365620,58693515,253781115,1690210,674310610,0,130401915,146216715,576333010,664032610,666565386,673835437,1669962,664032610
Grumman Report,665242210,617570105,123379200,560566800,543908695,558876590,0,15814800,445931095,533630695,536163471,543433522,560546552,533630695
Report Revision,649427410,601755305,107564400,544752000,528093895,543061790,673463705,0,430116295,517815895,520348671,527618722,544731752,517815895
Patent Filing,219311115,171639010,366726610,114635705,97977600,112945495,243347410,259162210,0,87699600,90232376,97502427,114615457,87699600
Patent Issue,131611515,83939410,279027010,26936105,10278000,25245895,155647810,171462610,601578905,0,2532776,9802827,26915857,0
Higuchi Comm,129078739,81406634,276494234,24403329,7745224,22713119,153115034,168929834,599046129,686745729,0,7270051,24383081,686745729
Doi Comm,121808688,74136583,269224183,17133278,475173,15443068,145844983,161659783,591776078,679475678,682008454,0,17113030,679475678
Final Liaison,104695658,57023553,252111153,20248,672640648,687608543,128731953,144546753,574663048,662362648,664895424,672165475,0,662362648
Genesis Block,131611515,83939410,279027010,26936105,10278000,25245895,155647810,171462610,601578905,0,2532776,9802827,26915857,0
